EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,7,3,4,6,7,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
6,5,7,3,4,6,7,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
6,6,7,3,4,6,7,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
7,6,7,3,4,6,7,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
7,6,7,3,4,7,6,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
7,5,7,5,5,7,6,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
5,5,7,6,5,5,6,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
4,5,5,4,4,7,6,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
3,5,5,5,4,6,6,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
2,4,7,6,4,5,6,4,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
2,4,6,6,5,6,6,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
