EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,5,3,2,4,5,5,5,15,dokumentaalfilm; kino; sõprus; eesti; eelarve; film; turg; formaadi; produtsent
7,7,4,4,2,4,6,5,5,15,dokumentaalfilm; kino; sõprus; eesti; eelarve; film; turg; formaadi; produtsent
5,7,5,5,2,5,6,5,6,15,dokumentaalfilm; kino; sõprus; eesti; eelarve; film; turg; formaadi; produtsent
4,7,6,5,3,5,7,5,6,15,dokumentaalfilm; kino; sõprus; eesti; eelarve; film; turg; formaadi; produtsent
4,7,6,5,4,5,6,5,6,15,dokumentaalfilm; kino; sõprus; eesti; eelarve; film; turg; formaadi; produtsent
4,6,6,5,5,6,6,4,7,15,dokumentaalfilm; kino; sõprus; eesti; eelarve; film; turg; formaadi; produtsent
4,5,4,5,5,6,7,6,6,15,dokumentaalfilm; kino; sõprus; eesti; eelarve; film; turg; formaadi; produtsent
6,4,4,5,5,4,4,6,6,15,dokumentaalfilm; kino; sõprus; eesti; eelarve; film; turg; formaadi; produtsent
4,4,4,5,6,6,5,5,7,15,dokumentaalfilm; kino; sõprus; eesti; eelarve; film; turg; formaadi; produtsent
4,3,4,4,6,5,3,3,5,15,dokumentaalfilm; kino; sõprus; eesti; eelarve; film; turg; formaadi; produtsent
4,3,4,4,5,5,5,4,5,15,dokumentaalfilm; kino; sõprus; eesti; eelarve; film; turg; formaadi; produtsent
