EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,7,7,5,7,7,5,0,15,venemaa; haigekassa; grabbi; palts; sisseveo; hellar; tõnis; keeld; george; bush; linnapea
9,7,7,7,5,7,7,7,0,15,venemaa; haigekassa; grabbi; palts; sisseveo; hellar; tõnis; keeld; george; bush; linnapea
9,8,7,7,5,6,8,7,0,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; tõnis; keeld; george
9,8,9,6,6,7,9,7,0,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; tõnis; keeld; george
9,9,10,8,6,6,9,7,0,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; tõnis; keeld; george
9,9,10,9,6,6,9,7,0,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; tõnis; keeld; george
8,10,8,8,7,8,10,7,0,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; tõnis; keeld; george
8,8,10,7,7,10,9,7,0,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; keeld; tõnis; george
7,9,8,6,7,11,8,6,0,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; hellar; tõnis; keeld; george
6,7,8,6,8,10,9,9,0,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; keeld; tõnis; hellar; george
7,8,10,9,8,10,9,9,0,15,grabbi; palts; bush; linnapea; venemaa; haigekassa; sisseveo; keeld; tõnis; hellar; george
