EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,2,4,4,2,4,2,0,13,elizabeth; esselink; süntesaator; solex
3,3,2,4,4,2,4,2,0,13,elizabeth; esselink; süntesaator; solex
4,3,2,4,4,2,4,2,0,13,elizabeth; esselink; süntesaator; solex
4,4,3,4,4,2,4,2,0,13,elizabeth; süntesaator; esselink; solex
4,4,3,4,4,3,4,2,0,13,elizabeth; süntesaator; esselink; solex
2,4,4,4,4,3,4,2,0,13,elizabeth; esselink; süntesaator; solex
2,3,4,4,3,4,4,3,0,13,elizabeth; esselink; süntesaator; solex
2,4,4,4,4,4,4,3,0,13,elizabeth; esselink; süntesaator; solex
2,4,4,4,4,3,4,3,0,13,elizabeth; esselink; süntesaator; solex
1,1,4,4,4,4,4,3,0,13,elizabeth; esselink; süntesaator; solex
0,1,4,4,4,3,4,3,0,13,elizabeth; esselink; süntesaator; solex
