EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,7,8,3,10,8,8,0,13,sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; tants; eesti; fuuga; harri; otsa; klaverikontsert; matti
11,10,7,9,4,10,8,8,0,13,sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; tants; eesti; fuuga; harri; otsa; klaverikontsert; matti
11,11,7,9,4,10,8,8,0,13,sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; tants; eesti; fuuga; harri; otsa; klaverikontsert; matti
11,11,9,9,5,11,8,8,0,13,sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; tants; eesti; fuuga; harri; otsa; klaverikontsert; matti
9,11,8,9,6,11,8,8,0,13,sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; tants; eesti; fuuga; harri; otsa; klaverikontsert; matti
9,10,10,9,5,10,8,8,0,13,sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; tants; eesti; fuuga; harri; otsa; klaverikontsert; matti
8,9,10,9,7,9,8,8,0,13,sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; tants; eesti; fuuga; harri; otsa; klaverikontsert; matti
7,8,11,9,9,9,10,8,0,13,sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; tants; eesti; fuuga; harri; otsa; klaverikontsert; matti
7,8,11,9,10,9,10,7,0,13,sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; tants; eesti; fuuga; harri; otsa; klaverikontsert; matti
9,7,10,9,10,9,10,7,0,13,sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; tants; eesti; fuuga; harri; klaverikontsert; otsa; matti
7,8,11,9,10,9,11,8,0,13,sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; tants; eesti; fuuga; harri; otsa; klaverikontsert; matti
