EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,5,6,4,6,5,6,5,13,muusikamuuseum; falck; eesti; klavessiin; christoph; klaverimeister; pianiino; radke; klaveriehitus
8,7,5,6,3,6,5,6,5,13,muusikamuuseum; falck; eesti; klavessiin; christoph; klaverimeister; pianiino; radke; klaveriehitus
8,6,5,6,3,6,5,6,5,13,muusikamuuseum; falck; eesti; klavessiin; christoph; klaverimeister; pianiino; radke; klaveriehitus
8,7,5,7,3,7,5,8,5,13,muusikamuuseum; falck; eesti; klavessiin; christoph; klaverimeister; pianiino; radke; klaveriehitus
8,7,5,7,4,7,5,8,5,13,muusikamuuseum; falck; eesti; klavessiin; christoph; klaverimeister; pianiino; radke; klaveriehitus
8,6,6,8,6,6,6,8,5,13,muusikamuuseum; falck; eesti; klavessiin; christoph; klaverimeister; pianiino; radke; klaveriehitus
6,5,6,6,8,7,5,6,4,13,muusikamuuseum; falck; eesti; klavessiin; christoph; klaverimeister; pianiino; radke; klaveriehitus
7,5,7,7,8,7,6,7,4,13,muusikamuuseum; falck; eesti; klavessiin; christoph; klaverimeister; pianiino; radke; klaveriehitus
5,3,5,5,8,7,4,6,4,13,muusikamuuseum; falck; eesti; klavessiin; christoph; klaverimeister; pianiino; radke; klaveriehitus
4,3,5,6,8,7,4,5,6,13,muusikamuuseum; falck; eesti; klavessiin; christoph; klaverimeister; pianiino; radke; klaveriehitus
3,3,6,6,8,6,4,5,6,13,muusikamuuseum; falck; eesti; klavessiin; christoph; klaverimeister; pianiino; radke; klaveriehitus
