EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,6,5,5,3,5,5,4,0,10,keskkool; pidutsema; eriala; tele; töö; armastus; raadio; raha
3,6,5,7,2,5,5,4,0,10,keskkool; pidutsema; eriala; tele; töö; armastus; raadio; raha
3,7,6,7,2,5,5,4,0,10,keskkool; pidutsema; eriala; tele; töö; armastus; raadio; raha
3,6,6,7,3,5,7,4,0,10,keskkool; pidutsema; eriala; tele; töö; armastus; raadio; raha
4,4,6,6,3,7,6,4,0,10,keskkool; pidutsema; eriala; tele; töö; armastus; raadio; raha
3,4,8,4,4,6,6,4,0,10,keskkool; pidutsema; tele; eriala; töö; armastus; raadio; raha
4,3,6,6,4,5,6,4,0,10,keskkool; pidutsema; eriala; tele; töö; armastus; raadio; raha
4,5,6,6,5,4,5,4,0,10,keskkool; pidutsema; tele; töö; eriala; armastus; raadio; raha
5,7,5,6,6,6,4,5,0,10,keskkool; pidutsema; tele; eriala; töö; armastus; raadio; raha
5,7,6,4,7,4,2,5,0,10,keskkool; pidutsema; eriala; tele; töö; armastus; raadio; raha
5,6,5,4,6,6,4,6,0,10,keskkool; pidutsema; eriala; tele; töö; armastus; raadio; raha
