EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,6,5,5,8,10,6,0,12,admiral; järvelaid; mereakadeemia; kapten; merekultuur; mereriik; peeter; meremees; piirivalve; pitka; mereparaad; sadam
10,8,8,5,6,8,12,6,0,12,admiral; järvelaid; mereakadeemia; kapten; merekultuur; mereriik; peeter; meremees; piirivalve; pitka; mereparaad; sadam
9,9,9,4,6,8,12,6,0,12,admiral; järvelaid; mereakadeemia; kapten; merekultuur; mereriik; peeter; meremees; piirivalve; pitka; mereparaad; sadam
9,10,9,7,6,8,12,6,0,12,admiral; järvelaid; mereakadeemia; kapten; merekultuur; mereriik; peeter; meremees; piirivalve; pitka; mereparaad; sadam
8,7,11,8,7,10,11,6,0,12,admiral; järvelaid; mereakadeemia; kapten; merekultuur; mereriik; peeter; meremees; piirivalve; pitka; mereparaad; sadam
7,8,11,9,4,9,11,6,0,12,admiral; järvelaid; mereakadeemia; kapten; merekultuur; mereriik; peeter; meremees; piirivalve; pitka; mereparaad; sadam
9,7,11,11,5,8,10,6,0,12,admiral; järvelaid; mereakadeemia; kapten; merekultuur; mereriik; peeter; meremees; piirivalve; pitka; mereparaad; sadam
7,4,11,10,5,7,8,6,0,12,admiral; järvelaid; mereakadeemia; kapten; merekultuur; mereriik; peeter; meremees; piirivalve; pitka; mereparaad; sadam
8,6,9,7,7,4,6,7,0,12,admiral; järvelaid; mereakadeemia; kapten; merekultuur; mereriik; peeter; meremees; piirivalve; pitka; mereparaad; sadam
6,7,9,8,7,2,6,8,0,12,admiral; järvelaid; mereakadeemia; kapten; merekultuur; mereriik; peeter; meremees; piirivalve; pitka; mereparaad; sadam
7,6,7,8,6,3,5,9,0,12,admiral; järvelaid; mereakadeemia; kapten; merekultuur; mereriik; peeter; meremees; piirivalve; pitka; mereparaad; sadam
