EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,6,5,7,6,6,6,0,12,infoajastu; regulatsioon; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
7,7,6,5,7,6,6,6,0,12,infoajastu; regulatsioon; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
7,7,7,5,7,6,6,6,0,12,infoajastu; regulatsioon; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
7,7,7,5,7,6,6,6,0,12,infoajastu; regulatsioon; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
7,7,7,5,7,6,7,6,0,12,infoajastu; regulatsioon; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
7,7,7,5,7,6,7,6,0,12,infoajastu; regulatsioon; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
7,7,7,6,7,6,7,6,0,12,infoajastu; regulatsioon; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
7,7,7,7,7,5,7,6,0,12,infoajastu; regulatsioon; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
7,7,7,7,7,5,7,6,0,12,infoajastu; regulatsioon; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
6,7,7,7,7,4,6,7,0,12,infoajastu; regulatsioon; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
6,6,7,7,7,5,6,7,0,12,infoajastu; regulatsioon; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
