EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,9,9,8,6,8,9,0,12,veetakistus; lauskmaa; birgit; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
10,10,9,9,8,6,8,9,0,12,veetakistus; lauskmaa; birgit; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
10,10,9,9,9,7,10,9,0,12,veetakistus; lauskmaa; birgit; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
10,10,10,8,9,7,9,9,0,12,veetakistus; lauskmaa; birgit; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
10,10,10,8,9,8,9,9,0,12,veetakistus; lauskmaa; birgit; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
10,10,10,7,8,9,9,9,0,12,veetakistus; lauskmaa; birgit; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
10,10,10,10,9,9,9,9,0,12,veetakistus; lauskmaa; birgit; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
9,10,10,8,9,8,10,9,0,12,veetakistus; lauskmaa; birgit; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
7,10,10,9,9,8,10,10,0,12,veetakistus; lauskmaa; birgit; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
9,10,10,9,9,9,10,10,0,12,veetakistus; lauskmaa; birgit; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
8,9,10,9,10,10,10,10,0,12,veetakistus; lauskmaa; birgit; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
