EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,9,9,8,8,7,6,0,12,imelaps; kirjandus; kommunism; kunstid; klassik; kirjutama; iroonia; mati; unt; kaunid
10,8,9,9,8,8,7,6,0,12,imelaps; kirjandus; kommunism; kunstid; klassik; kirjutama; iroonia; mati; unt; kaunid
10,8,9,9,8,8,7,6,0,12,imelaps; kirjandus; kommunism; kunstid; klassik; kirjutama; iroonia; mati; unt; kaunid
9,8,9,9,8,8,7,6,0,12,imelaps; kirjandus; kommunism; kunstid; klassik; kirjutama; iroonia; mati; unt; kaunid
9,8,9,8,7,8,7,5,0,12,imelaps; kirjandus; kommunism; kunstid; klassik; kirjutama; iroonia; mati; unt; kaunid
9,9,9,8,7,8,8,6,0,12,imelaps; kirjandus; kommunism; kunstid; klassik; kirjutama; iroonia; mati; unt; kaunid
8,9,10,7,6,9,10,6,0,12,imelaps; kirjandus; kommunism; kunstid; klassik; kirjutama; iroonia; mati; unt; kaunid
7,10,10,7,8,10,10,8,0,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
7,10,10,8,7,10,9,8,0,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
7,10,10,8,8,9,8,10,0,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
8,10,10,7,7,8,9,9,0,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
