EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,4,1,1,2,4,5,0,12,aeg; nõukogude; hügieen; propaganda; aastad; kahekümnendad
4,3,4,1,2,2,4,5,0,12,aeg; nõukogude; hügieen; propaganda; aastad; kahekümnendad
4,2,3,1,2,1,5,5,0,12,aeg; nõukogude; hügieen; propaganda; aastad; kahekümnendad
4,2,3,1,2,1,5,5,0,12,aeg; nõukogude; hügieen; propaganda; aastad; kahekümnendad
4,4,2,1,3,1,3,5,0,12,aeg; nõukogude; hügieen; propaganda; aastad; kahekümnendad
5,4,1,3,3,1,3,5,0,12,aeg; nõukogude; hügieen; propaganda; aastad; kahekümnendad
1,4,1,3,2,2,3,5,0,12,aeg; nõukogude; hügieen; propaganda; aastad; kahekümnendad
2,3,2,3,2,2,3,4,0,12,aeg; nõukogude; hügieen; propaganda; aastad; kahekümnendad
0,5,2,3,3,2,2,4,0,12,aeg; nõukogude; hügieen; propaganda; aastad; kahekümnendad
0,5,2,3,3,1,2,4,0,12,aeg; nõukogude; hügieen; propaganda; aastad; kahekümnendad
2,3,3,3,4,2,1,2,0,12,aeg; nõukogude; hügieen; propaganda; aastad; kahekümnendad
