EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,4,6,1,6,5,5,0,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; muusika; haapsalu; vaimuinimene
7,5,4,6,1,6,5,5,0,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; muusika; haapsalu; vaimuinimene
7,5,4,6,1,6,4,5,0,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; muusika; haapsalu; vaimuinimene
7,6,5,6,1,6,4,5,0,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; muusika; haapsalu; vaimuinimene
7,5,5,6,2,6,4,5,0,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; muusika; haapsalu; vaimuinimene
6,5,5,6,3,5,5,5,0,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; haapsalu; muusika; vaimuinimene
4,6,4,5,5,5,5,5,0,13,presidendi; julgus; moekunstnik; vaimuinimene; tindur; liivia; haapsalu; muusika; disainima
4,6,5,7,6,5,4,4,0,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; haapsalu; muusika; vaimuinimene
5,6,6,6,7,5,7,4,0,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; haapsalu; muusika; vaimuinimene
5,7,7,5,6,5,8,4,0,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; haapsalu; muusika; vaimuinimene
4,6,6,5,6,5,8,5,0,13,disainima; presidendi; julgus; moekunstnik; tindur; liivia; haapsalu; muusika; vaimuinimene
