EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,3,6,5,3,4,3,0,11,päästeoperatsioon; radar; merehariduskeskus; rannavalve; territoriaalveed; veeteede; hüdrodünaamika; liikluskontroll; kiirkaater; amet
8,8,4,6,5,4,4,3,0,11,päästeoperatsioon; radar; merehariduskeskus; rannavalve; territoriaalveed; veeteede; hüdrodünaamika; liikluskontroll; kiirkaater; amet
8,8,5,7,6,4,4,3,0,11,päästeoperatsioon; radar; merehariduskeskus; rannavalve; territoriaalveed; veeteede; hüdrodünaamika; liikluskontroll; kiirkaater; amet
9,8,5,7,5,6,4,3,0,11,päästeoperatsioon; radar; merehariduskeskus; rannavalve; territoriaalveed; veeteede; hüdrodünaamika; liikluskontroll; kiirkaater; amet
9,8,7,7,6,7,6,3,0,11,päästeoperatsioon; radar; merehariduskeskus; rannavalve; territoriaalveed; veeteede; hüdrodünaamika; liikluskontroll; kiirkaater; amet
6,6,6,6,6,7,7,4,0,11,päästeoperatsioon; radar; merehariduskeskus; rannavalve; territoriaalveed; veeteede; hüdrodünaamika; liikluskontroll; kiirkaater; amet
5,6,9,5,4,9,5,4,0,11,merehariduskeskus; rannavalve; hüdrodünaamika; veeteede; radar; territoriaalveed; päästeoperatsioon; liikluskontroll; kiirkaater; amet
4,5,7,4,3,8,6,3,0,11,radar; merehariduskeskus; rannavalve; territoriaalveed; liikluskontroll; päästeoperatsioon; hüdrodünaamika; veeteede; kiirkaater; amet
5,3,7,5,6,8,6,5,0,11,päästeoperatsioon; radar; merehariduskeskus; rannavalve; territoriaalveed; veeteede; hüdrodünaamika; liikluskontroll; kiirkaater; amet
6,5,7,5,4,7,8,5,0,11,päästeoperatsioon; radar; merehariduskeskus; rannavalve; territoriaalveed; veeteede; hüdrodünaamika; liikluskontroll; kiirkaater; amet
5,3,8,4,5,7,7,5,0,11,päästeoperatsioon; radar; merehariduskeskus; rannavalve; territoriaalveed; veeteede; hüdrodünaamika; liikluskontroll; kiirkaater; amet
