EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,5,5,5,1,6,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,6,5,5,5,1,6,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,6,6,5,5,1,6,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,6,6,4,5,2,6,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,6,6,4,5,1,5,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,6,6,4,5,5,5,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,6,6,5,5,3,5,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,6,6,6,5,4,5,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
6,5,6,5,5,5,5,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,5,6,5,5,5,5,5,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,4,6,5,5,5,4,5,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
