EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,8,8,3,8,8,8,0,13,istanbul; orhan; pamuk; kirjanik; preemia; nobeli; islamimaailm; lumi; euroopa; türgi
9,8,8,8,3,8,9,8,0,13,istanbul; orhan; preemia; euroopa; pamuk; kirjanik; nobeli; islamimaailm; lumi; türgi
9,8,9,8,3,7,9,8,0,13,istanbul; orhan; preemia; euroopa; pamuk; kirjanik; nobeli; islamimaailm; lumi; türgi
8,8,9,8,3,7,9,9,0,13,istanbul; orhan; preemia; euroopa; pamuk; kirjanik; nobeli; islamimaailm; lumi; türgi
8,8,9,8,4,6,9,9,0,13,istanbul; orhan; preemia; euroopa; pamuk; kirjanik; nobeli; islamimaailm; lumi; türgi
7,8,8,7,4,6,9,9,0,13,istanbul; orhan; preemia; euroopa; pamuk; kirjanik; nobeli; islamimaailm; lumi; türgi
5,7,7,7,5,8,9,9,0,13,istanbul; orhan; preemia; euroopa; pamuk; kirjanik; nobeli; islamimaailm; lumi; türgi
6,7,6,7,7,6,9,9,0,13,istanbul; orhan; preemia; euroopa; pamuk; kirjanik; nobeli; islamimaailm; lumi; türgi
6,6,6,8,8,6,8,9,0,13,istanbul; orhan; pamuk; kirjanik; preemia; nobeli; islamimaailm; lumi; euroopa; türgi
6,8,6,7,7,7,8,9,0,13,istanbul; orhan; pamuk; kirjanik; preemia; nobeli; islamimaailm; lumi; euroopa; türgi
6,6,5,7,8,5,8,7,0,13,istanbul; orhan; pamuk; kirjanik; preemia; nobeli; islamimaailm; lumi; euroopa; türgi
