EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,4,5,3,6,6,7,5,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
6,7,4,5,3,6,6,7,6,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
6,7,4,5,3,6,6,7,6,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
7,7,5,5,3,6,7,7,6,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
7,7,6,6,3,6,7,7,6,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
5,7,7,6,5,6,6,7,6,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
5,6,7,6,5,7,6,7,6,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
5,4,6,6,5,7,6,6,6,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
3,5,6,6,5,7,7,6,6,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
3,2,6,7,3,7,6,6,5,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
3,2,6,5,4,6,6,7,6,11,uno; polder; emajõgi; maaparandaja; veehoidla; pauts; ekskavaator
