EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,6,7,2,6,8,8,0,13,villem; kristus; eesti; fresko; kirik; lutsifer; stackelberg; ilus; kaarli; mõisavalitseja
6,8,6,7,3,6,8,8,0,13,villem; kristus; eesti; fresko; kirik; lutsifer; stackelberg; ilus; kaarli; mõisavalitseja
6,7,6,7,3,7,8,8,0,13,villem; kristus; eesti; fresko; kirik; lutsifer; stackelberg; ilus; kaarli; mõisavalitseja
7,6,8,7,3,7,9,8,0,13,villem; kristus; fresko; lutsifer; stackelberg; ilus; mõisavalitseja; eesti; kirik; kaarli
8,6,9,7,4,8,9,8,0,13,villem; kristus; fresko; lutsifer; stackelberg; ilus; mõisavalitseja; eesti; kirik; kaarli
8,7,8,7,5,8,9,8,0,13,villem; kristus; fresko; lutsifer; stackelberg; ilus; mõisavalitseja; eesti; kirik; kaarli
9,8,10,8,5,8,8,8,0,13,kristus; fresko; villem; lutsifer; stackelberg; ilus; mõisavalitseja; eesti; kirik; kaarli
9,6,8,9,5,5,8,9,0,13,villem; fresko; kristus; lutsifer; stackelberg; ilus; mõisavalitseja; eesti; kirik; kaarli
7,6,8,8,8,8,7,10,0,13,villem; kristus; fresko; lutsifer; stackelberg; ilus; mõisavalitseja; eesti; kirik; kaarli
7,7,8,8,9,7,8,10,0,13,kristus; villem; fresko; lutsifer; stackelberg; ilus; mõisavalitseja; eesti; kirik; kaarli
6,5,8,7,10,5,6,9,0,13,kristus; villem; fresko; lutsifer; stackelberg; ilus; mõisavalitseja; eesti; kirik; kaarli
