EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,7,8,3,3,2,6,5,15,muuseum; aasta; lotte; gruusia; laidoneri; keedus; konkurentsivõime; sulev
8,6,7,8,3,3,3,6,5,15,muuseum; aasta; lotte; gruusia; laidoneri; keedus; konkurentsivõime; sulev
8,6,7,8,2,3,3,6,5,15,muuseum; aasta; lotte; gruusia; laidoneri; keedus; konkurentsivõime; sulev
8,6,7,8,2,5,3,7,5,15,muuseum; aasta; lotte; gruusia; laidoneri; keedus; konkurentsivõime; sulev
7,7,7,8,3,5,3,6,5,15,muuseum; aasta; lotte; gruusia; laidoneri; keedus; konkurentsivõime; sulev
7,7,7,8,2,5,4,8,5,15,muuseum; aasta; lotte; gruusia; laidoneri; keedus; konkurentsivõime; sulev
6,6,8,6,4,7,5,8,5,15,muuseum; aasta; lotte; gruusia; laidoneri; konkurentsivõime; keedus; sulev
4,7,6,8,5,5,3,5,5,15,muuseum; aasta; lotte; gruusia; laidoneri; konkurentsivõime; keedus; sulev
4,6,8,6,5,5,5,7,5,15,muuseum; aasta; lotte; gruusia; laidoneri; konkurentsivõime; keedus; sulev
4,6,7,6,6,4,4,7,5,15,muuseum; aasta; lotte; gruusia; laidoneri; konkurentsivõime; keedus; sulev
5,5,8,7,7,5,5,7,5,15,muuseum; aasta; lotte; gruusia; laidoneri; konkurentsivõime; keedus; sulev
