EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,2,2,2,1,5,4,0,10,leningrad; mälestus; lend; sõda; volga
4,2,2,2,2,1,5,4,0,10,leningrad; mälestus; lend; sõda; volga
5,2,2,2,2,2,5,4,0,10,leningrad; mälestus; lend; sõda; volga
5,2,4,3,1,2,5,4,0,10,leningrad; mälestus; lend; sõda; volga
5,2,4,3,1,1,5,4,0,10,leningrad; mälestus; lend; sõda; volga
3,3,2,3,1,3,5,4,0,10,leningrad; lend; mälestus; sõda; volga
3,3,1,3,1,2,4,4,0,10,lend; leningrad; mälestus; sõda; volga
2,3,1,2,2,3,3,4,0,10,lend; leningrad; mälestus; sõda; volga
1,4,4,2,3,3,3,4,0,10,lend; leningrad; mälestus; sõda; volga
2,3,2,2,3,4,1,4,0,10,lend; mälestus; leningrad; sõda; volga
1,3,2,2,3,5,1,4,0,10,lend; mälestus; leningrad; sõda; volga
