EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,9,10,4,8,9,6,0,16,ülikool; rahvusvaheline; ja; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; keel; haridus
11,11,9,10,3,8,9,6,0,16,ülikool; rahvusvaheline; ja; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; keel; haridus
11,11,9,10,3,8,9,6,0,16,ülikool; rahvusvaheline; ja; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; keel; haridus
11,10,9,10,3,8,9,6,0,16,ülikool; rahvusvaheline; ja; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; keel; haridus
12,10,9,11,3,9,9,6,0,16,ülikool; rahvusvaheline; ja; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; keel; haridus
11,10,10,11,3,9,9,6,0,16,ülikool; rahvusvaheline; ja; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keel; keelepoliitika; haridus
10,9,7,10,4,11,10,7,0,16,ülikool; rahvusvaheline; ja; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keel; keelepoliitika; haridus
9,9,9,9,4,11,10,7,0,16,ülikool; rahvusvaheline; ja; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; keel; haridus
8,10,11,10,6,10,8,8,0,16,ülikool; rahvusvaheline; ja; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; haridus; keel
7,10,9,9,9,10,10,8,0,16,ülikool; rahvusvaheline; ja; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; keel; haridus
6,10,9,9,10,8,9,7,0,16,ülikool; rahvusvaheline; ja; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; keel; haridus
