EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
17,18,10,7,9,6,10,12,0,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
17,18,11,8,9,6,10,12,0,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
17,17,13,9,11,6,10,12,0,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
16,16,13,9,12,7,9,12,0,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
16,16,14,9,13,8,12,13,0,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
14,16,13,11,17,10,12,13,0,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
13,14,15,16,17,10,16,15,0,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
12,13,13,16,17,11,14,14,0,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
12,9,12,15,17,13,16,14,0,21,meisterjaan; pärnoja; alter; holland; dragons; and; two; festival; roll; rock; raadio; sigrid; eurosonic; the; ewert; kaks; erki; soonik
9,10,14,15,17,13,14,17,0,21,meisterjaan; pärnoja; alter; holland; dragons; and; two; festival; roll; rock; raadio; sigrid; eurosonic; the; ewert; kaks; erki; soonik
9,7,13,15,18,10,14,16,0,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; erki; rock; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
