EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,4,4,5,4,5,3,0,11,lauluväljak; looduse; õlletegu; jaanipidu; jaanituli; kiik; vanarahvas; noorsoofestival
5,6,4,4,5,4,5,3,0,11,lauluväljak; looduse; õlletegu; jaanipidu; jaanituli; kiik; vanarahvas; noorsoofestival
5,6,4,4,5,4,5,5,0,11,lauluväljak; looduse; õlletegu; jaanipidu; jaanituli; kiik; vanarahvas; noorsoofestival
5,5,4,4,5,4,5,5,0,11,lauluväljak; looduse; õlletegu; jaanipidu; jaanituli; kiik; vanarahvas; noorsoofestival
5,5,4,4,5,5,6,5,0,11,lauluväljak; looduse; õlletegu; jaanipidu; jaanituli; kiik; vanarahvas; noorsoofestival
5,6,4,5,6,5,7,6,0,11,lauluväljak; looduse; õlletegu; jaanipidu; jaanituli; kiik; vanarahvas; noorsoofestival
4,5,4,5,5,4,6,6,0,11,lauluväljak; looduse; õlletegu; jaanipidu; jaanituli; kiik; vanarahvas; noorsoofestival
5,5,4,4,2,4,7,5,0,11,lauluväljak; looduse; õlletegu; jaanipidu; jaanituli; kiik; vanarahvas; noorsoofestival
6,2,5,4,2,4,5,5,0,11,lauluväljak; looduse; õlletegu; jaanipidu; jaanituli; kiik; vanarahvas; noorsoofestival
6,4,2,3,4,2,3,5,0,11,lauluväljak; looduse; õlletegu; jaanipidu; jaanituli; kiik; vanarahvas; noorsoofestival
5,4,4,4,3,4,0,4,0,11,lauluväljak; looduse; õlletegu; jaanipidu; jaanituli; kiik; vanarahvas; noorsoofestival
