EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,7,4,3,4,6,6,0,11,noor; töö; emil; doktor; jooksma; tennis; laur
5,4,7,4,3,4,6,6,0,11,noor; töö; emil; doktor; jooksma; tennis; laur
5,4,7,4,3,4,6,6,0,11,noor; töö; emil; doktor; jooksma; tennis; laur
5,4,7,3,3,5,6,6,0,11,noor; töö; emil; doktor; jooksma; tennis; laur
5,5,7,4,4,6,6,6,0,11,noor; töö; emil; doktor; jooksma; tennis; laur
6,6,7,5,5,6,7,6,0,11,noor; töö; emil; doktor; jooksma; tennis; laur
7,6,7,6,6,6,7,6,0,11,noor; töö; emil; doktor; jooksma; tennis; laur
6,6,6,6,7,5,7,6,0,11,noor; töö; doktor; emil; jooksma; tennis; laur
6,6,7,7,7,7,7,7,0,11,noor; töö; doktor; emil; jooksma; tennis; laur
6,6,6,7,7,7,7,7,0,11,noor; töö; doktor; emil; jooksma; tennis; laur
6,6,6,7,7,7,7,7,0,11,noor; töö; doktor; emil; jooksma; tennis; laur
