EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,3,9,5,5,9,4,0,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
11,11,3,9,5,5,9,4,0,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
11,11,6,9,5,6,10,4,0,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
11,11,7,9,5,6,10,4,0,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
11,11,9,9,6,5,10,5,0,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
11,11,10,9,8,7,9,7,0,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; rajaste; heinamaa; metsamaa; agu
11,10,11,11,10,9,10,7,0,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; rajaste; heinamaa; metsamaa; agu
11,10,11,11,11,11,9,7,0,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
11,9,11,11,11,10,11,10,0,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
11,9,11,11,11,11,10,10,0,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
11,9,11,11,11,11,10,11,0,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; rajaste; agu
