EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,4,4,3,5,2,5,3,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
5,5,4,4,2,5,2,5,3,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
5,5,4,4,1,5,2,5,3,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
4,5,4,4,0,5,3,5,3,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
5,6,4,3,0,5,4,6,3,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
6,5,4,3,0,5,4,5,2,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
6,4,6,3,2,2,4,3,1,10,kirik; russow; talupoeg; aadlik; pulmad; pidu; liivimaa; sõda
5,4,5,4,2,1,2,4,2,10,kirik; russow; talupoeg; aadlik; pulmad; pidu; liivimaa; sõda
5,5,2,4,2,5,4,4,2,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
4,5,4,4,1,2,4,4,3,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
4,5,3,3,1,3,4,3,2,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
