EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,7,6,6,7,8,5,6,12,saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
6,5,7,6,6,7,8,5,6,12,saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
6,5,7,6,6,7,8,5,6,12,saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
6,5,7,6,6,7,8,5,6,12,saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
6,5,7,6,6,7,8,5,6,12,saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
6,5,7,6,6,7,8,5,6,12,saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
6,5,7,6,6,7,8,5,6,12,saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
6,5,7,6,6,7,8,5,6,12,saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
6,5,7,6,6,7,8,5,6,12,saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
6,5,7,6,6,7,8,5,6,12,saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
6,5,7,6,6,7,8,5,6,12,saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
