EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,7,6,8,6,6,7,7,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,7,6,8,6,6,7,7,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,7,6,8,6,6,7,7,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,7,6,8,6,6,7,7,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,7,6,8,6,6,7,7,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,7,6,8,6,6,7,7,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,7,6,8,6,6,7,7,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,7,6,8,6,6,7,7,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,7,6,8,6,6,7,7,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,7,6,8,6,6,7,7,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
8,8,7,6,8,6,6,7,7,10,veoauto; kaunistus; piibujutt; mittesuitsetaja; tüdruk; sõitma; mets; armastamine; autojuht
