EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,2,4,4,1,4,4,5,2,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,1,4,4,5,2,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,1,4,4,5,2,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,1,4,4,5,2,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,1,4,4,5,2,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,1,4,4,5,2,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,1,4,4,5,2,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,1,4,4,5,2,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,1,4,5,5,2,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,1,4,5,5,2,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,1,4,6,5,2,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
