EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,8,5,3,4,4,7,3,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,5,8,5,3,4,4,7,2,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,5,8,5,3,4,4,7,2,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,5,8,5,3,4,4,7,3,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,5,8,5,3,4,4,7,3,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,5,8,5,3,4,4,7,3,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,5,8,5,3,4,4,7,3,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,5,8,5,3,4,4,7,3,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,5,8,5,3,4,4,7,3,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,5,8,5,3,4,4,7,3,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,5,8,5,3,4,4,7,3,14,dvd-plaat; telejaam; port; kommentaar; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
