EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,5,2,2,4,4,3,3,13,tulekahju; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
4,3,5,2,2,4,4,3,3,13,tulekahju; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
4,3,5,2,2,4,4,3,3,13,tulekahju; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
4,3,5,2,2,4,4,3,3,13,tulekahju; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
4,3,5,2,2,4,4,3,3,13,tulekahju; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
4,3,5,2,2,4,4,3,3,13,tulekahju; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
4,3,5,2,2,4,4,3,3,13,tulekahju; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
4,3,5,2,2,4,4,3,3,13,tulekahju; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
4,3,3,2,2,4,4,3,3,13,tulekahju; aasta; kana; popiidol; uus; senjorii; üksinda; trump; televisioon; kodu; jäähoki
4,3,3,2,2,4,3,3,3,13,tulekahju; aasta; kana; popiidol; uus; senjorii; üksinda; trump; televisioon; kodu; jäähoki
4,3,5,1,2,4,3,3,3,13,tulekahju; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
