EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,7,6,3,7,5,4,4,16,tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
4,2,7,6,3,7,5,4,4,16,tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
4,2,7,6,3,7,5,4,4,16,tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
4,2,7,6,3,7,5,4,4,16,tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
4,2,7,6,3,7,5,4,4,16,tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
4,2,7,6,3,7,5,4,4,16,tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
4,2,7,6,3,7,5,4,4,16,tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
4,2,7,6,3,7,5,4,4,16,tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
4,2,7,6,3,7,5,4,4,16,tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
4,2,7,6,3,7,5,4,4,16,tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
4,2,7,6,3,7,5,4,4,16,tunnustus; tiisler; tarmo; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
