EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,4,3,1,3,3,2,3,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
2,4,4,3,1,3,3,2,3,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
2,4,4,3,1,3,3,2,3,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
2,4,4,3,1,3,3,2,3,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
2,4,4,3,1,3,3,2,3,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
2,4,4,3,1,3,3,2,3,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
2,4,4,3,1,3,3,2,3,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
2,4,4,3,1,3,3,2,3,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
2,4,4,3,1,3,3,2,3,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
2,4,4,3,1,3,3,2,3,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
2,4,4,3,1,3,3,2,3,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
