EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,4,3,1,1,2,3,3,2,12,jaanuar; lõpp; lähedane; intensiivne; aasta
0,4,3,1,1,2,3,3,2,12,jaanuar; lõpp; lähedane; intensiivne; aasta
0,4,3,1,1,2,3,3,2,12,jaanuar; lõpp; lähedane; intensiivne; aasta
0,4,3,1,1,2,3,3,2,12,jaanuar; lõpp; lähedane; intensiivne; aasta
0,4,3,1,1,2,3,3,2,12,jaanuar; lõpp; lähedane; intensiivne; aasta
0,4,3,1,1,2,3,3,2,12,jaanuar; lõpp; lähedane; intensiivne; aasta
0,4,3,1,1,2,3,3,2,12,jaanuar; lõpp; lähedane; intensiivne; aasta
0,4,3,1,1,2,3,3,2,12,jaanuar; lõpp; lähedane; intensiivne; aasta
0,4,3,1,1,2,3,3,2,12,jaanuar; lõpp; lähedane; intensiivne; aasta
0,4,3,1,1,2,3,3,2,12,jaanuar; lõpp; lähedane; intensiivne; aasta
0,4,3,1,1,2,3,3,2,12,jaanuar; lõpp; lähedane; intensiivne; aasta
