EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,2,2,1,3,3,2,1,12,määrus; ajutine; seisund
1,2,2,2,1,3,3,2,1,12,määrus; ajutine; seisund
1,2,2,2,1,3,3,2,1,12,määrus; ajutine; seisund
1,2,2,2,1,3,3,2,1,12,määrus; ajutine; seisund
1,2,2,2,1,3,3,2,1,12,määrus; ajutine; seisund
1,2,2,2,1,3,3,2,1,12,määrus; ajutine; seisund
1,2,2,2,1,3,3,2,1,12,määrus; ajutine; seisund
1,2,2,2,1,3,3,2,1,12,määrus; ajutine; seisund
1,2,2,2,1,3,3,2,1,12,määrus; ajutine; seisund
1,2,2,2,1,3,3,2,1,12,määrus; ajutine; seisund
1,2,2,2,1,3,3,2,1,12,määrus; ajutine; seisund
