EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,9,4,2,10,12,6,6,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev
7,6,9,4,2,10,12,6,6,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev
7,6,9,4,2,10,12,6,6,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev
7,6,9,4,2,10,12,6,6,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev
7,6,9,4,2,10,12,6,6,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev
7,6,9,4,2,10,12,6,6,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev
7,6,9,4,2,10,12,6,6,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev
7,6,9,4,2,10,12,6,6,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev
7,6,9,4,2,10,12,6,6,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev
7,6,9,4,2,10,12,6,6,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev
7,6,9,4,2,10,12,6,6,20,kristus; luterlik; johannes; basiilika; sostumus; peetrus; gregorius; efesos; jumal; patriarh; konstantinoopol; kolmas; sõnum; troon; kirikukalender; pühakutepäev
