EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,2,6,5,2,6,8,6,3,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,2,6,5,2,6,8,6,3,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,2,6,5,2,6,8,6,3,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,2,6,5,2,6,8,6,3,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,2,6,5,2,6,8,6,3,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,2,6,5,2,6,8,6,3,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,2,6,5,2,6,8,6,3,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,2,6,5,2,6,8,6,3,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,2,6,5,2,6,8,6,3,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,2,6,5,2,6,8,6,3,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,2,6,5,2,6,8,6,3,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
