EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,2,1,2,3,2,1,2,10,koit; lill; hämarik; taevas; faehlmann; ööbik
1,2,2,1,2,3,2,1,2,10,koit; lill; hämarik; taevas; faehlmann; ööbik
1,2,2,1,2,3,2,1,3,10,lill; hämarik; faehlmann; taevas; ööbik; koit
1,2,2,1,2,3,2,1,3,10,lill; hämarik; faehlmann; taevas; ööbik; koit
1,2,2,1,2,3,2,1,3,10,lill; hämarik; faehlmann; taevas; ööbik; koit
1,2,2,1,2,3,2,1,3,10,lill; hämarik; faehlmann; taevas; ööbik; koit
1,2,2,1,2,3,2,1,3,10,lill; hämarik; faehlmann; taevas; ööbik; koit
1,2,2,1,2,3,2,1,3,10,lill; hämarik; faehlmann; taevas; ööbik; koit
1,2,2,1,2,3,2,1,3,10,lill; hämarik; faehlmann; taevas; ööbik; koit
1,2,2,1,2,3,2,1,3,10,lill; hämarik; faehlmann; taevas; ööbik; koit
1,2,2,1,2,3,2,1,3,10,lill; hämarik; faehlmann; taevas; ööbik; koit
