EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,3,4,4,3,4,4,2,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
5,7,3,4,5,3,4,4,2,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
5,7,3,4,5,3,4,4,2,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
5,7,3,4,5,3,4,4,2,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
5,7,3,4,5,3,4,4,2,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
5,7,3,4,5,3,4,4,2,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
5,7,3,4,5,3,4,4,2,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
5,7,3,4,5,3,4,4,2,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
5,7,3,4,4,3,4,4,2,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
5,7,3,4,4,3,4,4,2,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
5,7,3,4,5,3,4,4,2,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
