EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,0,3,1,2,0,3,1,1,11,meloodia; polk; simman; lõuna-eesti; tants; tantsima
3,0,3,1,2,0,3,1,1,11,meloodia; polk; simman; lõuna-eesti; tants; tantsima
3,0,3,1,2,0,3,1,1,11,meloodia; polk; simman; lõuna-eesti; tants; tantsima
3,0,3,1,2,0,3,1,1,11,meloodia; polk; simman; lõuna-eesti; tants; tantsima
3,0,3,1,2,0,3,1,1,11,meloodia; polk; simman; lõuna-eesti; tants; tantsima
3,0,3,1,2,0,3,1,1,11,meloodia; polk; simman; lõuna-eesti; tants; tantsima
3,0,3,1,2,0,3,1,1,11,meloodia; polk; simman; lõuna-eesti; tants; tantsima
3,0,3,1,2,0,3,1,1,11,meloodia; polk; simman; lõuna-eesti; tants; tantsima
3,0,3,1,2,0,3,1,1,11,meloodia; polk; simman; lõuna-eesti; tants; tantsima
3,0,3,0,2,0,3,1,1,11,meloodia; polk; simman; lõuna-eesti; tants; tantsima
3,0,3,0,2,0,3,1,1,11,meloodia; polk; simman; lõuna-eesti; tants; tantsima
