EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,3,1,1,1,0,0,2,13,merike; lili; õpetamine; lugema; käär; vanem
2,0,3,1,1,1,0,0,2,13,merike; lili; õpetamine; lugema; käär; vanem
2,0,3,1,1,1,0,0,2,13,merike; lili; õpetamine; lugema; käär; vanem
2,0,3,1,1,1,0,0,2,13,merike; lili; õpetamine; lugema; käär; vanem
2,0,3,1,1,1,0,0,2,13,merike; lili; õpetamine; lugema; käär; vanem
2,0,3,1,1,1,0,0,2,13,merike; lili; õpetamine; lugema; käär; vanem
2,0,3,1,1,1,0,0,2,13,merike; lili; õpetamine; lugema; käär; vanem
2,0,3,1,1,1,1,0,2,13,merike; lili; õpetamine; lugema; käär; vanem
2,0,3,1,1,1,1,0,2,13,merike; lili; õpetamine; lugema; käär; vanem
2,0,3,1,1,2,1,0,2,13,merike; lili; õpetamine; lugema; käär; vanem
2,0,2,1,0,1,1,0,3,13,merike; lili; õpetamine; lugema; käär; vanem
