EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,4,0,1,1,3,1,1,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet
3,1,4,0,1,1,3,1,1,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet
3,1,4,0,1,1,3,1,1,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet
3,1,4,0,1,1,3,1,0,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet
3,1,4,0,1,1,3,1,0,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet
3,1,4,0,1,1,3,1,0,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet
3,1,4,0,1,1,3,2,0,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet
3,1,4,1,1,1,4,3,0,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet
3,1,4,2,1,1,4,3,0,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet
3,0,4,2,1,1,4,3,0,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet
3,1,5,2,2,1,4,3,0,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; identiteet
