EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,3,2,1,3,2,4,3,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
2,2,3,2,1,3,2,4,3,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
2,2,3,2,1,3,2,4,3,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
2,2,3,2,1,3,2,4,3,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
2,2,3,2,1,3,2,4,3,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
2,2,3,2,1,3,2,4,3,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
2,2,3,2,1,3,2,4,3,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
2,2,3,2,1,3,2,4,3,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
2,2,3,2,1,3,2,4,3,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
2,2,3,2,1,3,2,4,3,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
2,2,3,2,1,3,2,4,3,12,klaas; braseodüüm; lantano; tabel; neodüüm; mikrofon; mendelejev; kõlar
