EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,1,5,2,0,0,0,2,0,16,piret; peeter; lasmann; kriivan; tiisler; toomas; tarmo; jürgens; kersna
6,1,5,2,0,0,0,2,0,16,piret; peeter; lasmann; kriivan; tiisler; toomas; tarmo; jürgens; kersna
6,1,5,2,0,0,0,2,0,16,piret; peeter; lasmann; kriivan; tiisler; toomas; tarmo; jürgens; kersna
6,1,5,2,0,0,0,2,0,16,piret; peeter; lasmann; kriivan; tiisler; toomas; tarmo; jürgens; kersna
6,1,5,2,0,0,0,2,0,16,piret; peeter; lasmann; kriivan; tiisler; toomas; tarmo; jürgens; kersna
6,1,5,2,0,0,0,2,0,16,piret; peeter; lasmann; kriivan; tiisler; toomas; tarmo; jürgens; kersna
6,1,5,2,0,0,0,2,0,16,piret; peeter; lasmann; kriivan; tiisler; toomas; tarmo; jürgens; kersna
6,1,5,2,0,0,0,2,0,16,piret; peeter; lasmann; kriivan; tiisler; toomas; tarmo; jürgens; kersna
6,1,5,2,0,0,0,2,0,16,piret; peeter; lasmann; kriivan; tiisler; toomas; tarmo; jürgens; kersna
6,1,5,2,0,0,0,2,0,16,piret; peeter; lasmann; kriivan; tiisler; toomas; tarmo; jürgens; kersna
6,1,5,2,0,0,0,2,0,16,piret; peeter; lasmann; kriivan; tiisler; toomas; tarmo; jürgens; kersna
