EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,1,3,2,2,0,2,0,12,muldmetall; klaas; mendelejevi; neodüüm; lantanoid
3,2,1,3,2,2,0,2,0,12,muldmetall; klaas; mendelejevi; neodüüm; lantanoid
3,2,1,3,2,2,0,2,0,12,muldmetall; klaas; mendelejevi; neodüüm; lantanoid
3,2,1,3,2,2,0,2,0,12,muldmetall; klaas; mendelejevi; neodüüm; lantanoid
3,2,1,3,2,2,0,2,0,12,muldmetall; klaas; mendelejevi; neodüüm; lantanoid
3,2,1,3,2,2,0,2,0,12,muldmetall; klaas; mendelejevi; neodüüm; lantanoid
3,2,1,3,2,2,0,2,0,12,muldmetall; klaas; mendelejevi; neodüüm; lantanoid
3,2,1,3,2,2,0,2,0,12,muldmetall; klaas; mendelejevi; neodüüm; lantanoid
3,2,1,3,2,2,0,2,0,12,muldmetall; klaas; mendelejevi; neodüüm; lantanoid
3,2,1,3,2,2,0,2,0,12,muldmetall; klaas; mendelejevi; neodüüm; lantanoid
3,2,1,3,2,2,0,2,0,12,muldmetall; klaas; mendelejevi; neodüüm; lantanoid
