EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,3,0,2,2,2,2,1,11,telekas; signaal; analoogantenn; elektron; marek; valgus
1,1,3,0,2,2,2,2,1,11,telekas; signaal; analoogantenn; elektron; marek; valgus
1,1,3,0,2,2,2,2,1,11,telekas; signaal; analoogantenn; elektron; marek; valgus
1,1,3,0,2,2,2,2,1,11,telekas; signaal; analoogantenn; elektron; marek; valgus
1,1,3,0,2,2,2,2,1,11,telekas; signaal; analoogantenn; elektron; marek; valgus
1,1,3,0,2,2,2,2,1,11,telekas; signaal; analoogantenn; elektron; marek; valgus
1,1,3,0,2,2,2,2,1,11,telekas; signaal; analoogantenn; elektron; marek; valgus
1,1,3,0,2,2,2,2,1,11,telekas; signaal; analoogantenn; elektron; marek; valgus
1,1,3,0,2,2,2,2,1,11,telekas; signaal; analoogantenn; elektron; marek; valgus
1,1,3,0,2,2,2,2,1,11,telekas; signaal; analoogantenn; elektron; marek; valgus
1,1,3,0,2,2,2,2,1,11,telekas; signaal; analoogantenn; elektron; marek; valgus
