EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,3,2,2,2,2,2,0,16,aivar; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,3,2,2,2,2,2,0,16,aivar; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,3,2,2,2,2,2,0,16,aivar; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,3,2,2,2,2,2,0,16,aivar; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,3,2,2,2,2,2,0,16,aivar; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,3,2,2,2,2,2,0,16,aivar; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,3,2,2,2,2,2,0,16,aivar; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,3,2,2,2,2,2,0,16,aivar; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,3,2,2,2,2,2,0,16,aivar; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,3,2,2,2,2,2,0,16,aivar; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
2,2,3,2,2,2,2,2,0,16,aivar; narva; materjal; orgaaniline; savinõu; keraamika; kiviaja
