EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,2,2,1,2,5,1,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
2,4,2,2,1,2,5,1,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
2,4,2,2,1,2,5,1,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
2,4,2,2,1,2,5,1,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
2,4,2,2,1,2,5,1,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
2,4,2,2,1,2,5,1,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
2,4,2,2,1,2,5,2,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
2,4,2,2,1,2,5,2,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
3,4,2,0,1,2,5,2,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
3,3,2,0,1,2,5,2,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
3,4,2,1,0,2,5,2,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
