EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,1,1,0,1,2,0,0,13,suvi; boriss; kont; leho
2,1,1,1,0,1,2,0,0,13,suvi; boriss; kont; leho
2,1,1,1,0,1,2,0,0,13,suvi; boriss; kont; leho
2,1,1,1,0,1,2,0,0,13,suvi; boriss; kont; leho
2,1,1,1,0,1,2,0,0,13,suvi; boriss; kont; leho
2,1,1,1,0,1,2,0,0,13,suvi; boriss; kont; leho
1,1,1,2,0,1,2,0,0,13,suvi; boriss; kont; leho
1,1,2,0,0,1,2,0,0,13,suvi; boriss; kont; leho
2,1,2,0,0,1,2,0,0,13,suvi; boriss; kont; leho
2,1,2,0,0,1,2,0,0,13,suvi; boriss; kont; leho
2,1,2,0,0,1,2,0,0,13,suvi; boriss; kont; leho
