EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,5,2,0,4,4,1,0,13,orhan; kirjanik; preemia; nobeli; euroopa; türgi
0,2,5,2,0,4,4,1,0,13,orhan; kirjanik; preemia; nobeli; euroopa; türgi
0,2,5,2,0,4,4,1,0,13,orhan; kirjanik; preemia; nobeli; euroopa; türgi
0,2,5,2,0,4,4,1,0,13,orhan; kirjanik; preemia; nobeli; euroopa; türgi
0,2,5,2,0,4,4,1,0,13,orhan; kirjanik; preemia; nobeli; euroopa; türgi
1,2,4,2,0,4,4,1,0,13,orhan; kirjanik; preemia; nobeli; euroopa; türgi
0,2,3,4,0,4,4,1,0,13,istanbul; orhan; kirjanik; preemia; nobeli; türgi
0,2,2,4,0,5,4,1,0,13,istanbul; orhan; kirjanik; preemia; nobeli; türgi
0,3,2,0,0,4,4,1,0,13,orhan; kirjanik; preemia; nobeli; euroopa; türgi
0,3,2,1,0,2,5,0,0,13,orhan; kirjanik; euroopa; preemia; nobeli; türgi
0,1,2,1,0,4,6,0,0,13,orhan; pamuk; kirjanik; preemia; nobeli; türgi
