EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,0,0,0,1,2,1,0,11,raudtee; jaan; tädi; talent; näitleja
3,1,0,0,0,1,2,1,0,11,raudtee; jaan; tädi; talent; näitleja
3,1,0,0,0,1,2,1,0,11,raudtee; jaan; tädi; talent; näitleja
3,1,0,0,0,1,2,1,0,11,raudtee; jaan; tädi; talent; näitleja
3,1,0,0,0,1,2,1,0,11,raudtee; jaan; tädi; talent; näitleja
3,1,0,0,0,1,2,1,0,11,raudtee; jaan; tädi; talent; näitleja
3,1,0,0,0,1,2,1,0,11,raudtee; jaan; tädi; talent; näitleja
3,1,0,0,0,1,2,1,0,11,raudtee; jaan; tädi; talent; näitleja
3,1,0,0,0,1,2,1,0,11,raudtee; jaan; tädi; talent; näitleja
3,1,0,0,0,1,2,1,0,11,raudtee; jaan; tädi; talent; näitleja
3,1,0,0,0,1,2,1,0,11,raudtee; jaan; tädi; talent; näitleja
