EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,8,9,8,6,5,5,8,9,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
4,8,9,8,6,5,5,8,9,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
4,8,9,8,6,5,5,8,9,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
4,8,9,8,6,5,5,8,9,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
4,8,9,8,6,5,5,8,9,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
4,8,9,8,6,5,5,8,9,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
4,8,9,8,6,5,5,8,9,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
3,8,9,9,6,5,5,8,9,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
4,8,9,9,6,5,5,8,10,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
6,8,9,9,6,5,5,8,10,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
7,9,9,7,6,6,5,8,10,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
