EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,6,7,4,2,5,6,6,7,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; inflatsioon; laevaliiklus; rahvakultuurifestiva
10,6,7,4,2,5,6,6,7,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; inflatsioon; laevaliiklus; rahvakultuurifestiva
10,6,7,4,2,5,6,6,7,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; inflatsioon; laevaliiklus; rahvakultuurifestiva
10,6,7,4,2,5,6,6,7,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; inflatsioon; laevaliiklus; rahvakultuurifestiva
10,6,7,4,2,5,6,7,7,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; inflatsioon; laevaliiklus; rahvakultuurifestiva
9,6,7,4,2,5,6,7,7,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; laevaliiklus; rahvakultuurifestiva; inflatsioon
8,7,9,4,3,7,7,8,7,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; laevaliiklus; rahvakultuurifestiva; inflatsioon
8,5,9,6,2,9,9,9,7,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; laevaliiklus; rahvakultuurifestiva; inflatsioon
7,8,7,8,3,7,7,7,7,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; inflatsioon; laevaliiklus; rahvakultuurifestiva
6,5,7,8,3,5,3,7,7,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; inflatsioon; laevaliiklus; rahvakultuurifestiva
3,8,6,8,4,6,8,8,6,13,komisjon; salme; tartu; euro; euroopa; ants; johanson; üleminek; janek; inflatsioon; laevaliiklus; rahvakultuurifestiva
