EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,5,5,5,5,6,5,6,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
7,6,5,5,5,5,6,5,6,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
7,6,5,5,5,5,6,5,6,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
7,6,5,5,5,5,6,5,6,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
7,6,5,5,5,5,6,5,6,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
6,6,5,5,5,5,6,5,6,11,jakobson; kreutzwald; rahvajutt; eesti; rahvakultuur; raamat; inimene; sündmus
7,6,6,5,5,5,5,5,6,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
8,6,5,5,5,5,5,5,6,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
7,6,6,4,5,5,6,6,6,11,jakobson; kreutzwald; rahvajutt; eesti; rahvakultuur; raamat; inimene; sündmus
6,5,6,5,5,7,6,6,6,11,jakobson; kreutzwald; eesti; rahvakultuur; raamat; inimene; sündmus; rahvajutt
6,5,6,5,5,7,6,6,7,11,jakobson; kreutzwald; rahvajutt; eesti; rahvakultuur; raamat; inimene; sündmus
