EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,6,6,5,6,4,5,6,11,aeg; heategevus; süsteem; organisatsioon; vaba; kingitus; õnnetunne; jõulurõõm; ametkond; tegutsemisaeg
6,8,6,6,5,6,4,5,6,11,aeg; heategevus; süsteem; organisatsioon; vaba; kingitus; õnnetunne; jõulurõõm; ametkond; tegutsemisaeg
6,8,6,6,5,6,4,5,6,11,aeg; heategevus; süsteem; organisatsioon; vaba; kingitus; õnnetunne; jõulurõõm; ametkond; tegutsemisaeg
6,8,6,6,5,6,4,5,6,11,aeg; heategevus; süsteem; organisatsioon; vaba; kingitus; õnnetunne; jõulurõõm; ametkond; tegutsemisaeg
6,8,6,6,5,6,4,5,5,11,aeg; heategevus; süsteem; organisatsioon; vaba; kingitus; õnnetunne; jõulurõõm; ametkond; tegutsemisaeg
6,8,6,6,5,6,4,5,5,11,aeg; heategevus; süsteem; organisatsioon; vaba; kingitus; õnnetunne; jõulurõõm; ametkond; tegutsemisaeg
6,8,6,6,5,6,4,6,5,11,aeg; heategevus; süsteem; organisatsioon; vaba; kingitus; õnnetunne; jõulurõõm; ametkond; tegutsemisaeg
7,8,6,6,5,6,4,6,5,11,aeg; heategevus; süsteem; organisatsioon; vaba; kingitus; õnnetunne; jõulurõõm; ametkond; tegutsemisaeg
9,8,6,7,5,5,4,6,5,11,aeg; heategevus; süsteem; organisatsioon; vaba; kingitus; õnnetunne; jõulurõõm; ametkond; tegutsemisaeg
8,8,6,6,6,5,5,6,5,11,aeg; heategevus; süsteem; organisatsioon; vaba; kingitus; õnnetunne; jõulurõõm; ametkond; tegutsemisaeg
8,7,5,6,6,5,5,6,6,11,aeg; heategevus; süsteem; organisatsioon; vaba; kingitus; õnnetunne; jõulurõõm; ametkond; tegutsemisaeg
