EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,9,3,6,4,4,7,7,6,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
6,9,3,6,4,4,7,7,6,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
6,9,3,6,4,4,7,7,6,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
6,9,3,6,4,4,7,7,6,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
6,9,3,6,4,4,7,7,6,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
6,9,3,6,4,4,7,7,6,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
6,9,3,6,4,4,7,7,6,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
6,9,3,6,4,4,7,7,6,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
6,9,3,6,4,4,7,7,6,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
6,9,3,6,4,4,7,7,6,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
6,9,3,6,4,4,7,7,6,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
