EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,6,5,3,2,1,6,3,15,vare; tootmisliin; iisrael; tallinn; viktor; liibanon; alatskivi; kai; resolutsioon; janukovitš; lossipäev; viikingipäev
4,4,6,5,3,2,1,6,3,15,vare; tootmisliin; iisrael; tallinn; viktor; liibanon; alatskivi; kai; resolutsioon; janukovitš; lossipäev; viikingipäev
4,4,6,5,3,2,1,6,3,15,vare; tootmisliin; iisrael; tallinn; viktor; liibanon; alatskivi; kai; resolutsioon; janukovitš; lossipäev; viikingipäev
4,4,6,5,3,2,1,6,3,15,vare; tootmisliin; iisrael; tallinn; viktor; liibanon; alatskivi; kai; resolutsioon; janukovitš; lossipäev; viikingipäev
4,4,5,5,3,3,1,7,3,15,vare; tootmisliin; iisrael; tallinn; viktor; liibanon; alatskivi; kai; resolutsioon; janukovitš; lossipäev; viikingipäev
4,3,5,5,3,4,4,7,3,15,vare; tootmisliin; iisrael; tallinn; viktor; liibanon; alatskivi; kai; resolutsioon; janukovitš; lossipäev; viikingipäev
7,4,7,5,2,5,3,8,3,15,tootmisliin; tallinn; viktor; alatskivi; resolutsioon; janukovitš; lossipäev; üro; iisrael; liibanon; kai; viikingipäev
4,3,7,6,3,4,2,6,3,15,vare; tootmisliin; iisrael; tallinn; viktor; liibanon; alatskivi; kai; resolutsioon; janukovitš; lossipäev; viikingipäev
6,4,8,6,1,3,3,6,3,15,üro; tootmisliin; iisrael; tallinn; viktor; liibanon; alatskivi; kai; resolutsioon; janukovitš; lossipäev; viikingipäev
4,6,5,7,3,5,4,5,4,15,vare; tootmisliin; iisrael; tallinn; viktor; liibanon; alatskivi; kai; resolutsioon; janukovitš; lossipäev; viikingipäev
5,5,6,7,2,5,5,4,4,15,vare; tootmisliin; iisrael; tallinn; viktor; liibanon; alatskivi; kai; resolutsioon; janukovitš; lossipäev; viikingipäev
