EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,7,10,4,7,7,10,2,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; teater; liit; draamatrupp
7,9,7,10,3,7,7,10,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; teater; liit; draamatrupp
7,9,7,10,3,7,7,10,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; teater; liit; draamatrupp
7,9,7,10,3,7,7,10,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; teater; liit; draamatrupp
7,9,7,10,3,7,7,10,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; teater; liit; draamatrupp
7,9,7,10,3,7,7,10,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; teater; liit; draamatrupp
8,9,8,10,3,7,7,10,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; liit; teater; draamatrupp
8,9,8,11,3,7,6,10,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; liit; teater; draamatrupp
10,8,9,9,3,7,7,11,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; liit; teater; draamatrupp
10,9,9,9,4,8,6,11,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; liit; teater; draamatrupp
10,10,9,8,5,8,5,11,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; liit; teater; draamatrupp
