EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,2,7,5,8,4,2,5,8,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
10,2,7,5,8,4,2,5,7,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
10,2,7,5,8,4,2,5,7,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
10,2,7,5,8,4,2,5,7,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
10,2,7,5,8,4,2,5,7,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
10,2,7,5,8,4,2,5,7,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
10,2,7,5,8,4,2,5,7,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
10,2,7,5,8,4,2,5,7,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
10,2,7,5,8,4,2,5,7,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
10,2,7,5,8,4,2,5,7,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
10,2,7,5,8,4,2,5,7,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
