EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,7,7,3,8,7,8,4,10,teadus; õpe; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; tulemus
8,9,7,7,3,8,7,8,4,10,teadus; õpe; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; tulemus
8,9,7,7,3,8,7,8,3,10,teadus; õpe; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; tulemus
8,9,7,7,3,8,7,8,3,10,teadus; õpe; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; tulemus
8,9,7,7,3,8,7,8,4,10,teadus; õpe; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; tulemus
8,9,7,7,3,8,7,8,4,10,teadus; õpe; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; tulemus
8,9,7,7,3,8,7,8,4,10,teadus; õpe; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; tulemus
8,9,7,7,3,8,7,8,4,10,teadus; õpe; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; tulemus
8,9,7,7,3,8,7,8,4,10,teadus; õpe; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; tulemus
8,9,7,7,3,8,7,8,4,10,teadus; õpe; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; tulemus
7,8,7,7,3,8,9,8,4,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; õpe; tulemus; riigikogu; väljapaistev
