EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,9,8,6,7,7,7,6,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
8,7,9,8,6,7,7,7,6,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
8,7,9,8,6,7,7,7,6,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
8,7,9,8,6,7,7,7,6,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
8,7,9,8,6,7,7,7,6,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
8,7,9,8,6,7,7,7,6,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
8,7,9,8,6,7,7,7,6,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
8,7,9,8,6,7,7,7,6,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
8,7,9,8,6,7,7,7,6,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
8,7,9,8,6,7,7,7,6,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
8,7,9,8,6,7,7,7,6,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
