EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,5,4,4,4,3,5,5,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
4,5,5,4,4,4,3,5,5,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
4,5,5,4,4,4,3,5,5,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
4,5,5,4,4,4,3,5,5,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
4,5,5,4,4,4,3,5,5,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
3,5,4,4,4,4,3,5,5,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
5,4,6,2,4,5,3,6,5,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
5,9,7,4,4,4,4,6,5,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
8,5,6,3,4,7,5,8,4,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
5,7,6,4,4,6,5,7,6,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
4,8,7,5,4,7,5,5,7,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
