EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,3,9,7,5,3,9,5,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
7,10,3,9,7,5,3,9,5,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
7,10,3,9,7,5,3,9,5,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
7,9,3,9,7,5,3,9,5,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
7,10,3,9,7,5,3,9,5,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
7,10,3,9,7,5,3,10,5,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
9,10,4,9,7,5,3,11,5,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; pius; tomusk; isik; leib; pannkook
11,9,4,9,7,4,4,11,5,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; tomusk; pius; isik; leib; pannkook
11,10,5,11,7,6,3,11,5,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; tomusk; pius; isik; leib; pannkook
10,10,5,11,7,7,6,11,7,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; tomusk; pius; isik; leib; pannkook
10,11,7,12,7,7,6,11,7,13,martin; ilmar; märt; isa; sool; ema; kõrvaline; tomusk; pius; isik; leib; pannkook
