EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,4,5,2,4,4,5,7,15,töö; fuu; matti; loominguline; ots; tants; eesti; kirill; harri; reimann; prelüüd
5,5,4,5,2,4,4,5,7,15,töö; fuu; matti; loominguline; ots; tants; eesti; kirill; harri; reimann; prelüüd
5,5,4,5,2,4,4,5,7,15,töö; fuu; matti; loominguline; ots; tants; eesti; kirill; harri; reimann; prelüüd
5,5,4,5,2,4,4,5,7,15,töö; fuu; matti; loominguline; ots; tants; eesti; kirill; harri; reimann; prelüüd
5,5,4,5,2,4,4,5,7,15,töö; fuu; matti; loominguline; ots; tants; eesti; kirill; harri; reimann; prelüüd
5,5,5,5,2,4,4,6,7,15,töö; fuu; matti; loominguline; ots; tants; eesti; kirill; harri; reimann; prelüüd
8,5,5,4,2,6,3,9,7,15,kirill; reimann; prelüüd; töö; matti; loominguline; ots; eesti; harri; fuu; tants
11,4,4,4,3,5,2,7,7,15,töö; matti; loominguline; ots; eesti; tants; kirill; harri; reimann; prelüüd; fuu
9,4,5,6,4,5,2,6,7,15,töö; matti; loominguline; ots; tants; eesti; kirill; harri; reimann; prelüüd; fuu
7,4,5,6,4,7,4,6,7,15,töö; fuu; matti; loominguline; ots; eesti; kirill; harri; reimann; prelüüd; tants
7,4,5,5,5,7,6,5,7,15,töö; fuu; matti; loominguline; ots; eesti; kirill; harri; reimann; prelüüd; tants
